"position","row_id","entrez_id","symbol","scgpt_symbol","reactome_pathways","baseline_mean","pre_change_sd","change_excess","between_subject_sd"
30,"gene3568","3568","IL5RA","IL5RA",10,5.073,0.4505,1.0689,0.6938
31,"gene7057","7057","THBS1","THBS1",26,5.662,0.4062,1.0615,0.6981
32,"gene2995","2995","GYPC","GYPC",2,9.728,0.4247,1.059,0.654
33,"gene4599","4599","MX1","MX1",6,5.879,0.3939,1.0586,0.856
34,"gene4811","4811","NID1","NID1",6,5.617,0.4032,1.0478,0.4985
35,"gene4318","4318","MMP9","MMP9",31,4.911,0.4535,1.0453,0.6344
36,"gene5166","5166","PDK4","PDK4",14,2.499,0.8412,1.0436,0.6748
37,"gene2039","2039","DMTN","DMTN",2,9.188,0.4009,1.0426,0.7089
38,"gene51218","51218","GLRX5","GLRX5",2,6.381,0.3708,1.0425,0.6683
39,"gene8660","8660","IRS2","IRS2",58,6.362,0.3679,1.0331,0.2922
40,"gene598","598","BCL2L1","BCL2L1",34,9.198,0.3925,1.0207,0.7196
41,"gene2987","2987","GUK1","GUK1",5,8.405,0.3746,1.0199,0.5535
42,"gene11126","11126","CD160","CD160",3,5.578,0.3931,1.0167,0.6398
43,"gene645","645","BLVRB","BLVRB",7,6.621,0.3544,1.0101,0.5137
44,"gene4541","4541","MT-ND6","MT-ND6",10,6.718,0.351,1.0046,0.3504
45,"gene3437","3437","IFIT3","IFIT3",4,5.311,0.4037,1.0005,0.7401
46,"gene3127","3127","HLA-DRB5","HLA-DRB5",13,4.804,0.4425,0.9997,2.3051
47,"gene2537","2537","IFI6","IFI6",5,4.917,0.4303,0.9939,0.8396
48,"gene51348","51348","KLRF1","KLRF1",3,4.892,0.4296,0.9876,0.586
49,"gene3119","3119","HLA-DQB1","HLA-DQB1",13,4.115,0.5047,0.9773,3.8696
50,"gene140","140","ADORA3","ADORA3",8,3.889,0.5304,0.9709,0.6406
51,"gene4784","4784","NFIX","NFIX",4,5.588,0.3745,0.9698,0.6556
52,"gene2999","2999","GZMH","GZMH",4,6.929,0.3366,0.9688,0.9311
53,"gene11251","11251","PTGDR2","PTGDR2",8,5.639,0.3684,0.9605,0.6112
54,"gene53637","53637","S1PR5","S1PR5",7,6.891,0.3333,0.9589,0.534
55,"gene4939","4939","OAS2","OAS2",12,7.011,0.3329,0.9576,0.5313
56,"gene1843","1843","DUSP1","DUSP1",6,7.75,0.3396,0.9548,0.3034
57,"gene1052","1052","CEBPD","CEBPD",12,7.397,0.3309,0.9504,0.2742
58,"gene573","573","BAG1","BAG1",4,8.384,0.3488,0.9497,0.562
59,"gene81567","81567","TXNDC5","TXNDC5",8,6.041,0.346,0.9462,0.3908
60,"gene669","669","BPGM","BPGM",4,5.6,0.3639,0.9427,0.6289
61,"gene788","788","SLC25A20","SLC25A20",4,4.434,0.4484,0.9336,0.335
62,"gene115362","115362","GBP5","GBP5",6,7.051,0.3225,0.9255,0.5307
63,"gene5909","5909","RAP1GAP","RAP1GAP",7,2.041,0.8508,0.9234,1.8338
64,"gene3824","3824","KLRD1","KLRD1",10,7.072,0.3217,0.9228,0.4872
65,"gene91543","91543","RSAD2","RSAD2",4,3.173,0.6152,0.9216,1.206
66,"gene3434","3434","IFIT1","IFIT1",6,3.716,0.5198,0.9051,1.0767
67,"gene4061","4061","LY6E","LY6E",8,5.603,0.3503,0.905,0.5209
68,"gene7097","7097","TLR2","TLR2",33,6.978,0.3158,0.905,0.2446
69,"gene83715","83715","ESPN","ESPN",4,4.466,0.4321,0.904,1.0949
70,"gene9636","9636","ISG15","ISG15",26,4.013,0.4808,0.9038,0.8238
71,"gene2235","2235","FECH","FECH",5,5.995,0.3301,0.8944,0.6112
72,"gene10316","10316","NMUR1","NMUR1",8,5.447,0.3545,0.8932,0.5719
73,"gene2633","2633","GBP1","GBP1",18,5.592,0.3465,0.8925,0.5008
74,"gene1668","1668","DEFA3","DEFA3",5,3.663,0.516,0.8836,2.2329
75,"gene3433","3433","IFIT2","IFIT2",4,6.342,0.3166,0.8815,0.5503
76,"gene10644","10644","IGF2BP2","IGF2BP2",2,5.831,0.3308,0.8784,0.5709
77,"gene687","687","KLF9","KLF9",9,5.846,0.3295,0.8763,0.1853
78,"gene3949","3949","LDLR","LDLR",19,5.376,0.3521,0.8747,0.3325
79,"gene3029","3029","HAGH","HAGH",3,6.693,0.3074,0.8709,0.5553
80,"gene11098","11098","PRSS23","PRSS23",4,4.95,0.377,0.868,0.6684
81,"gene10098","10098","TSPAN5","TSPAN5",2,5.449,0.3423,0.8585,0.5486
82,"gene54739","54739","XAF1","XAF1",4,5.972,0.3192,0.8581,0.5383
83,"gene3958","3958","LGALS3","LGALS3",13,6.676,0.303,0.8556,0.5204
84,"gene2322","2322","FLT3","FLT3",54,3.297,0.5548,0.8532,0.4568
85,"gene60675","60675","PROK2","PROK2",7,4.455,0.4111,0.8515,0.493
86,"gene7280","7280","TUBB2A","TUBB2A",103,3.36,0.5434,0.8506,1.7433
87,"gene117157","117157","SH2D1B","SH2D1B",3,5.345,0.342,0.8404,0.6074
88,"gene6772","6772","STAT1","STAT1",82,7.01,0.2952,0.8373,0.3861
89,"gene27087","27087","B3GAT1","B3GAT1",4,4.547,0.397,0.8372,1.0834
90,"gene4684","4684","NCAM1","NCAM1",22,5.053,0.3554,0.8281,0.5708
91,"gene5551","5551","PRF1","PRF1",5,9.776,0.3368,0.823,0.4819
92,"gene23770","23770","FKBP8","FKBP8",4,11.215,0.3841,0.8197,0.5961
93,"gene6563","6563","SLC14A1","SLC14A1",3,4.831,0.3667,0.8173,0.6191
94,"gene6170","6170","RPL39","RPL39",46,6.659,0.29,0.811,0.1814
95,"gene122618","122618","PLD4","PLD4",12,5.947,0.3047,0.8091,0.3275
96,"gene27090","27090","ST6GALNAC4","ST6GALNAC4",28,5.53,0.3206,0.8056,0.4699
97,"gene84525","84525","HOPX","HOPX",4,5.509,0.3191,0.798,0.4148
98,"gene1718","1718","DHCR24","DHCR24",7,4.689,0.3684,0.7927,0.4561
99,"gene6351","6351","CCL4","CCL4",12,4.515,0.3822,0.7923,0.5262
100,"gene6189","6189","RPS3A","RPS3A",54,8.63,0.3015,0.7921,0.2094
101,"gene4938","4938","OAS1","OAS1",7,5.501,0.3171,0.7904,0.5749
102,"gene25793","25793","FBXO7","FBXO7",7,9.757,0.3252,0.7896,0.6236
103,"gene9902","9902","MRC2","MRC2",10,4.432,0.3883,0.7892,0.6634
104,"gene6614","6614","SIGLEC1","SIGLEC1",3,3.192,0.536,0.7891,0.975
105,"gene665","665","BNIP3L","BNIP3L",6,7.692,0.2863,0.7885,0.3983
106,"gene8651","8651","SOCS1","SOCS1",33,4.012,0.4276,0.7863,0.3266
107,"gene9415","9415","FADS2","FADS2",11,5.033,0.3419,0.7858,0.9735
108,"gene115361","115361","GBP4","GBP4",14,5.88,0.2993,0.7839,0.3836
109,"gene10964","10964","IFI44L","IFI44L",4,3.071,0.5506,0.7819,1.1039
110,"gene9734","9734","HDAC9","HDAC9",15,4.838,0.3531,0.7809,0.3633
111,"gene10410","10410","IFITM3","IFITM3",4,6.813,0.2793,0.7807,1.0843
112,"gene2935","2935","GSPT1","GSPT1",15,8.374,0.2939,0.7789,0.5128
113,"gene10808","10808","HSPH1","HSPH1",10,6.137,0.2896,0.7772,0.2397
114,"gene162466","162466","PHOSPHO1","PHOSPHO1",6,7.606,0.2812,0.7767,0.4444
115,"gene51094","51094","ADIPOR1","ADIPOR1",3,9.444,0.3128,0.7757,0.5681
116,"gene10561","10561","IFI44","IFI44",4,3.804,0.4453,0.774,0.789
117,"gene25941","25941","TPGS2","TPGS2",3,5.825,0.2968,0.7694,0.4277
118,"gene1299","1299","COL9A3","COL9A3",18,2.685,0.606,0.7683,1.4917
119,"gene9332","9332","CD163","CD163",10,6.04,0.2896,0.7683,0.372
120,"gene7049","7049","TGFBR3","TGFBR3",21,5.846,0.2957,0.7679,0.4229
121,"gene4603","4603","MYBL1","MYBL1",3,5.512,0.3094,0.7674,0.4034
122,"gene30009","30009","TBX21","TBX21",6,7.208,0.2753,0.7668,0.4627
123,"gene51759","51759","C9orf78","C9orf78",4,8.781,0.2953,0.7631,0.5695
124,"gene7088","7088","TLE1","TLE1",23,4.556,0.3676,0.762,0.2925
125,"gene8843","8843","HCAR3","HCAR3",7,5.081,0.3307,0.7612,0.4492
126,"gene84164","84164","ASCC2","ASCC2",8,8.253,0.2873,0.7609,0.5126
127,"gene255488","255488","RNF144B","RNF144B",4,6.023,0.288,0.7608,0.2494
128,"gene1462","1462","VCAN","VCAN",24,8.986,0.2981,0.7601,0.3657
129,"gene9047","9047","SH2D2A","SH2D2A",4,5.693,0.2988,0.7588,0.3711
130,"gene10133","10133","OPTN","OPTN",31,8.028,0.2832,0.7547,0.4334
131,"gene997","997","CDC34","CDC34",15,6.853,0.2695,0.7457,0.4676
132,"gene7314","7314","UBB","UBB",473,10.079,0.3192,0.7431,0.5529
133,"gene5159","5159","PDGFRB","PDGFRB",15,3.627,0.4519,0.741,0.839
134,"gene51191","51191","HERC5","HERC5",18,3.754,0.4356,0.7387,0.7965
135,"gene26053","26053","AUTS2","AUTS2",5,5.126,0.3199,0.736,0.4628
136,"gene11213","11213","IRAK3","IRAK3",12,6.113,0.2781,0.7346,0.2584
137,"gene4753","4753","NELL2","NELL2",5,6.72,0.2674,0.7328,0.4796
138,"gene241","241","ALOX5AP","ALOX5AP",8,6.396,0.2713,0.7312,0.2903
139,"gene8818","8818","DPM2","DPM2",20,5.279,0.31,0.7312,0.518
140,"gene5730","5730","PTGDS","PTGDS",7,5.249,0.3107,0.7284,0.7878
141,"gene4897","4897","NRCAM","NRCAM",11,2.669,0.5836,0.7261,1.2617
142,"gene266727","266727","MDGA1","MDGA1",3,2.623,0.5896,0.7233,2.5217
143,"gene8644","8644","AKR1C3","AKR1C3",20,3.916,0.4103,0.7213,0.6593
144,"gene139189","139189","DGKK","DGKK",7,2.558,0.5973,0.7179,1.2892
145,"gene10398","10398","MYL9","MYL9",28,4.865,0.3295,0.7171,0.9139
146,"gene94240","94240","EPSTI1","EPSTI1",5,4.21,0.3799,0.716,0.7474
147,"gene8131","8131","NPRL3","NPRL3",4,7.601,0.2642,0.7148,0.5685
148,"gene2354","2354","FOSB","FOSB",21,2.756,0.5629,0.7146,0.5424
149,"gene54625","54625","PARP14","PARP14",19,7.462,0.2619,0.7142,0.3835
150,"gene26253","26253","CLEC4E","CLEC4E",8,5.265,0.3052,0.7132,0.2762
151,"gene166929","166929","SGMS2","SGMS2",4,3.416,0.465,0.7108,0.4295
152,"gene9619","9619","ABCG1","ABCG1",10,4.83,0.3274,0.7038,0.4666
153,"gene10409","10409","BASP1","BASP1",5,6.879,0.2582,0.7034,0.3067
154,"gene2623","2623","GATA1","GATA1",8,4.768,0.3307,0.7013,0.5629
155,"gene948","948","CD36","CD36",50,6.327,0.2643,0.6996,0.4843
156,"gene3597","3597","IL13RA1","IL13RA1",4,6.914,0.2565,0.6971,0.2148
157,"gene5802","5802","PTPRS","PTPRS",10,4.752,0.33,0.6959,0.4726
158,"gene23569","23569","PADI4","PADI4",2,5.647,0.2821,0.6948,0.3884
159,"gene1831","1831","TSC22D3","TSC22D3",3,9.633,0.2918,0.6916,0.2361
160,"gene10578","10578","GNLY","GNLY",3,9.314,0.2844,0.6904,0.62
161,"gene1088","1088","CEACAM8","CEACAM8",7,2.367,0.6128,0.689,1.5561
162,"gene7453","7453","WARS1","WARS1",4,6.726,0.2557,0.6884,0.3794
163,"gene3992","3992","FADS1","FADS1",8,4.048,0.3838,0.6871,0.3974
164,"gene6279","6279","S100A8","S100A8",26,8.421,0.2686,0.6867,0.2731
165,"gene6768","6768","ST14","ST14",6,4.667,0.3322,0.6845,0.429
166,"gene147700","147700","KLC3","KLC3",16,2.454,0.5944,0.6833,0.9407
167,"gene2867","2867","FFAR2","FFAR2",7,6.477,0.2567,0.6811,0.2813
168,"gene9021","9021","SOCS3","SOCS3",37,4.55,0.3391,0.6799,0.4372
169,"gene6210","6210","RPS15A","RPS15A",54,7.935,0.261,0.678,0.1789
170,"gene3674","3674","ITGA2B","ITGA2B",36,6.61,0.2541,0.6767,0.7506
171,"gene83547","83547","RILP","RILP",3,4.487,0.3417,0.674,0.5312
172,"gene729230","729230","CCR2","CCR2",16,6.271,0.2582,0.6723,0.2609
173,"gene5473","5473","PPBP","PPBP",15,6.499,0.2542,0.6722,0.6361
174,"gene3988","3988","LIPA","LIPA",4,6.217,0.2586,0.67,0.3845
175,"gene7504","7504","XK","XK",5,3.887,0.3925,0.6693,0.6251
176,"gene3985","3985","LIMK2","LIMK2",13,6.364,0.2556,0.6693,0.2602
177,"gene19","19","ABCA1","ABCA1",16,4.154,0.3669,0.668,0.5403
178,"gene10498","10498","CARM1","CARM1",41,6.683,0.2507,0.6667,0.4288
179,"gene51465","51465","UBE2J1","UBE2J1",4,6.433,0.2532,0.6644,0.2447
180,"gene2064","2064","ERBB2","ERBB2",63,5.267,0.2897,0.6614,0.4984
181,"gene3690","3690","ITGB3","ITGB3",54,6.358,0.2537,0.6613,0.6888
182,"gene1066","1066","CES1","CES1",11,3.989,0.379,0.66,1.0586
183,"gene342510","342510","CD300E","CD300E",5,7.056,0.2462,0.6556,0.3279
184,"gene2876","2876","GPX1","GPX1",15,8.405,0.2601,0.6553,0.3469
185,"gene5029","5029","P2RY2","P2RY2",18,4.7,0.32,0.6541,0.405
186,"gene1236","1236","CCR7","CCR7",8,8.106,0.2567,0.6535,0.4974
187,"gene59269","59269","HIVEP3","HIVEP3",5,6.443,0.2493,0.6496,0.3161
188,"gene222487","222487","ADGRG3","ADGRG3",3,5.006,0.2997,0.649,0.3378
189,"gene5037","5037","PEBP1","PEBP1",15,6.369,0.2497,0.6463,0.1685
190,"gene4051","4051","CYP4F3","CYP4F3",11,5.35,0.2811,0.6452,0.3925
191,"gene23166","23166","STAB1","STAB1",3,6.782,0.2441,0.645,0.3909
192,"gene3956","3956","LGALS1","LGALS1",4,6.717,0.2446,0.6435,0.346
193,"gene27244","27244","SESN1","SESN1",11,5.645,0.2679,0.6428,0.2513
194,"gene4066","4066","LYL1","LYL1",6,6.839,0.2429,0.6417,0.3852
195,"gene6283","6283","S100A12","S100A12",30,5.065,0.294,0.6406,0.4334
196,"gene604","604","BCL6","BCL6",12,7.186,0.2427,0.6406,0.2877
197,"gene3553","3553","IL1B","IL1B",24,5.003,0.2973,0.6404,0.3628
198,"gene9148","9148","NEURL1","NEURL1",17,3.878,0.382,0.6399,0.4965
199,"gene1240","1240","CMKLR1","CMKLR1",4,5.516,0.2717,0.6379,0.5226
200,"gene2180","2180","ACSL1","ACSL1",16,7.317,0.2417,0.6376,0.2981
201,"gene8972","8972","MGAM","MGAM",6,5.978,0.2555,0.6361,0.3669
202,"gene1808","1808","DPYSL2","DPYSL2",7,6.404,0.2462,0.6348,0.2941
203,"gene2353","2353","FOS","FOS",64,6.128,0.2508,0.6326,0.3281
204,"gene1521","1521","CTSW","CTSW",4,8.463,0.2549,0.6325,0.4695
205,"gene5920","5920","PLAAT4","PLAAT4",5,5.881,0.2572,0.6325,0.1988
206,"gene6319","6319","SCD","SCD",17,3.6,0.4083,0.6323,0.4025
207,"gene973","973","CD79A","CD79A",14,6.723,0.2413,0.6305,0.52
208,"gene9256","9256","TSPOAP1","TSPOAP1",13,6.988,0.2397,0.6292,0.404
209,"gene4609","4609","MYC","MYC",71,6.954,0.239,0.6263,0.2623
210,"gene4145","4145","MATK","MATK",4,7.066,0.2391,0.626,0.3359
211,"gene10346","10346","TRIM22","TRIM22",4,7.084,0.239,0.6255,0.3292
212,"gene3117","3117","HLA-DQA1","HLA-DQA1",13,4,0.3644,0.6235,2.3681
213,"gene3934","3934","LCN2","LCN2",12,3.839,0.3796,0.6234,0.9965
214,"gene23608","23608","MKRN1","MKRN1",10,8.854,0.2579,0.6232,0.4396
215,"gene9435","9435","CHST2","CHST2",5,6.197,0.247,0.6225,0.4144
216,"gene1545","1545","CYP1B1","CYP1B1",14,4.432,0.3286,0.6222,0.4634
217,"gene92745","92745","SLC38A5","SLC38A5",4,5.365,0.2739,0.6217,0.5732
218,"gene2205","2205","FCER1A","FCER1A",12,5.606,0.2633,0.6197,0.4461
219,"gene6133","6133","RPL9","RPL9",46,8.901,0.2573,0.618,0.2483
220,"gene4035","4035","LRP1","LRP1",9,8.676,0.2539,0.618,0.2879
221,"gene56994","56994","CHPT1","CHPT1",5,4.977,0.2918,0.6169,0.4572
222,"gene338442","338442","HCAR2","HCAR2",7,4.808,0.3011,0.6157,0.4008
223,"gene1053","1053","CEBPE","CEBPE",2,3.428,0.4205,0.6139,0.5944
224,"gene5204","5204","PFDN5","PFDN5",5,7.48,0.237,0.6135,0.2015
225,"gene93010","93010","B3GNT7","B3GNT7",9,2.723,0.5132,0.6127,0.5439
226,"gene3759","3759","KCNJ2","KCNJ2",18,4.816,0.2992,0.611,0.3129
227,"gene9510","9510","ADAMTS1","ADAMTS1",11,3.92,0.3668,0.6101,0.6536
228,"gene3113","3113","HLA-DPA1","HLA-DPA1",13,7.267,0.2348,0.6083,0.3118
229,"gene10905","10905","MAN1A2","MAN1A2",10,5.985,0.248,0.607,0.2999
230,"gene3315","3315","HSPB1","HSPB1",12,5.852,0.2514,0.6065,0.2333
231,"gene6193","6193","RPS5","RPS5",54,8.256,0.246,0.6058,0.2263
232,"gene7001","7001","PRDX2","PRDX2",14,6.407,0.239,0.6051,0.3334
233,"gene10602","10602","CDC42EP3","CDC42EP3",8,6.649,0.2357,0.6033,0.2216
234,"gene6285","6285","S100B","S100B",33,2.373,0.5611,0.6024,1.5557
235,"gene196","196","AHR","AHR",10,5.47,0.264,0.6021,0.2887
236,"gene1524","1524","CX3CR1","CX3CR1",14,8.66,0.2497,0.6018,0.4091
237,"gene9588","9588","PRDX6","PRDX6",7,6.902,0.2331,0.6011,0.4252
238,"gene4311","4311","MME","MME",14,5.586,0.2591,0.6009,0.3776
239,"gene55831","55831","EMC3","EMC3",5,6.054,0.2444,0.6001,0.3246
240,"gene9935","9935","MAFB","MAFB",3,5.196,0.2755,0.599,0.3354
241,"gene2015","2015","ADGRE1","ADGRE1",4,5.982,0.2449,0.5945,0.481
242,"gene10435","10435","CDC42EP2","CDC42EP2",8,5.12,0.2773,0.5923,0.2825
243,"gene2030","2030","SLC29A1","SLC29A1",7,4.705,0.3004,0.5921,0.6248
244,"gene4012","4012","LNPEP","LNPEP",9,5.761,0.2503,0.5911,0.2283
245,"gene3162","3162","HMOX1","HMOX1",37,5.92,0.2454,0.5897,0.3073
246,"gene51312","51312","SLC25A37","SLC25A37",2,10.394,0.2808,0.586,0.5341
247,"gene2091","2091","FBL","FBL",8,7.121,0.2298,0.586,0.1777
248,"gene5196","5196","PF4","PF4",20,5.772,0.2484,0.5849,0.5331
249,"gene3820","3820","KLRB1","KLRB1",3,5.784,0.248,0.5848,0.4252
250,"gene23129","23129","PLXND1","PLXND1",13,7.125,0.2293,0.5837,0.2728
251,"gene59283","59283","CACNG8","CACNG8",11,3.154,0.4406,0.5823,0.7153
252,"gene84034","84034","EMILIN2","EMILIN2",6,6.648,0.2308,0.5822,0.2717
253,"gene6231","6231","RPS26","RPS26",54,7.363,0.2286,0.5816,1.2938
254,"gene6235","6235","RPS29","RPS29",54,7.963,0.2373,0.5809,0.1797
255,"gene90480","90480","GADD45GIP1","GADD45GIP1",11,4.771,0.2921,0.5777,0.1824
256,"gene64407","64407","RGS18","RGS18",9,6.22,0.2357,0.5774,0.2858
257,"gene5144","5144","PDE4D","PDE4D",15,4.337,0.3212,0.5773,0.3494
258,"gene84333","84333","PCGF5","PCGF5",5,6.917,0.2272,0.576,0.4163
259,"gene203","203","AK1","AK1",3,5.06,0.2756,0.5749,0.4683
260,"gene3560","3560","IL2RB","IL2RB",17,9.007,0.2479,0.5742,0.3878
261,"gene5866","5866","RAB3IL1","RAB3IL1",4,2.097,0.59,0.5737,0.8726
262,"gene925","925","CD8A","CD8A",3,7.487,0.2275,0.5723,0.5427
263,"gene939","939","CD27","CD27",4,6.741,0.2274,0.5719,0.3414
264,"gene1028","1028","CDKN1C","CDKN1C",10,3.173,0.4335,0.5716,0.6016
265,"gene11224","11224","RPL35","RPL35",46,7.805,0.2316,0.5678,0.1745
266,"gene7850","7850","IL1R2","IL1R2",6,4.873,0.2828,0.5659,0.2707
267,"gene54438","54438","GFOD1","GFOD1",5,5.438,0.2558,0.5657,0.3257
268,"gene7045","7045","TGFBI","TGFBI",2,7.148,0.2251,0.5651,0.3651
269,"gene83716","83716","CRISPLD2","CRISPLD2",3,5.056,0.2729,0.5646,0.3596
270,"gene5729","5729","PTGDR","PTGDR",8,4.665,0.2943,0.563,0.4335
271,"gene2791","2791","GNG11","GNG11",87,4.449,0.3081,0.5617,0.5228
272,"gene2812","2812","GP1BB","GP1BB",15,6.561,0.2269,0.5616,0.5405
273,"gene3067","3067","HDC","HDC",3,4.279,0.3202,0.5609,0.5842
274,"gene1595","1595","CYP51A1","CYP51A1",15,3.905,0.3504,0.5607,0.2311
275,"gene54543","54543","TOMM7","TOMM7",7,7.137,0.2236,0.5587,0.2366
276,"gene116844","116844","LRG1","LRG1",3,5.035,0.2722,0.5579,0.2739
277,"gene7264","7264","GFUS","GFUS",6,5.58,0.2484,0.5578,0.3967
278,"gene83666","83666","PARP9","PARP9",19,6.157,0.2322,0.5578,0.3387
279,"gene6222","6222","RPS18","RPS18",54,9.488,0.2518,0.5556,0.2701
280,"gene9491","9491","PSMF1","PSMF1",3,7.803,0.2287,0.555,0.3458
281,"gene596","596","BCL2","BCL2",30,7.229,0.2227,0.5548,0.2301
282,"gene6234","6234","RPS28","RPS28",54,8.937,0.2419,0.5544,0.204
283,"gene2288","2288","FKBP4","FKBP4",15,5.302,0.2587,0.554,0.2121
284,"gene6590","6590","SLPI","SLPI",9,2.619,0.4983,0.554,0.8442
285,"gene896","896","CCND3","CCND3",22,8.708,0.2386,0.5538,0.1482
286,"gene3792","3792","KEL","KEL",5,2.219,0.5584,0.5536,0.7461
287,"gene259197","259197","NCR3","NCR3",3,3.829,0.3548,0.5534,0.4582
288,"gene401258","401258","RAB44","RAB44",6,4.918,0.2769,0.5534,0.4924
289,"gene6208","6208","RPS14","RPS14",58,8.891,0.2402,0.5497,0.2097
290,"gene8685","8685","MARCO","MARCO",6,3.48,0.3883,0.5491,0.9485
291,"gene131870","131870","NUDT16","NUDT16",5,6.113,0.2306,0.5473,0.1977
292,"gene8807","8807","IL18RAP","IL18RAP",5,5.701,0.2414,0.5467,0.4367
293,"gene27343","27343","POLL","POLL",3,5.904,0.2354,0.5465,0.3917
294,"gene8671","8671","SLC4A4","SLC4A4",12,2.204,0.557,0.5464,0.4934
295,"gene100133941","100133941","CD24","CD24",10,4.066,0.3319,0.5463,0.5563
296,"gene9997","9997","SCO2","SCO2",9,6.2,0.2287,0.5456,0.3296
297,"gene6510","6510","SLC1A5","SLC1A5",13,6.324,0.2265,0.5449,0.3226
298,"gene6708","6708","SPTA1","SPTA1",24,2.798,0.4685,0.5429,0.5805
299,"gene8911","8911","CACNA1I","CACNA1I",7,5.648,0.2422,0.5424,0.5153
300,"gene57823","57823","SLAMF7","SLAMF7",3,6.671,0.2214,0.5418,0.3923
301,"gene9976","9976","CLEC2B","CLEC2B",3,4.597,0.2922,0.5413,0.2899
302,"gene6678","6678","SPARC","SPARC",13,7.313,0.2194,0.5409,0.5059
303,"gene6223","6223","RPS19","RPS19",54,9.046,0.2403,0.5406,0.1803
304,"gene1191","1191","CLU","CLU",16,6.982,0.2193,0.5401,0.6302
305,"gene23365","23365","ARHGEF12","ARHGEF12",21,6.284,0.2259,0.5397,0.4136
306,"gene6726","6726","SRP9","SRP9",6,4.569,0.2933,0.5393,0.237
307,"gene3122","3122","HLA-DRA","HLA-DRA",13,7.586,0.2212,0.5382,0.3383
308,"gene926","926","CD8B","CD8B",11,5.941,0.2321,0.5363,0.5694
309,"gene6633","6633","SNRPD2","SNRPD2",18,5.807,0.2353,0.5351,0.1574
310,"gene81027","81027","TUBB1","TUBB1",103,8.039,0.2274,0.5347,0.4619
311,"gene6773","6773","STAT2","STAT2",26,7.013,0.2181,0.5347,0.3156
312,"gene6281","6281","S100A10","S100A10",2,7.129,0.2182,0.5343,0.256
313,"gene5997","5997","RGS2","RGS2",4,7.838,0.2245,0.5341,0.2668
314,"gene7226","7226","TRPM2","TRPM2",7,4.92,0.2711,0.5325,0.3974
315,"gene129685","129685","TAF8","TAF8",24,6.068,0.2279,0.5314,0.1267
316,"gene8460","8460","TPST1","TPST1",12,2.183,0.5513,0.5303,0.5528
317,"gene4082","4082","MARCKS","MARCKS",4,6.073,0.2275,0.53,0.298
318,"gene80097","80097","MZT2B","MZT2B",9,6.305,0.2232,0.529,0.1997
319,"gene22934","22934","RPIA","RPIA",9,5.664,0.2382,0.5283,0.3393
320,"gene4354","4354","MPP1","MPP1",3,7.128,0.2166,0.5269,0.3704
321,"gene388","388","RHOB","RHOB",35,5.777,0.234,0.5257,0.2315
322,"gene9246","9246","UBE2L6","UBE2L6",28,6.005,0.2276,0.5236,0.3206
